cohort_month,cohort_label,week_number,cohort_users,retained_users,retention_rate
2025-09-01,Sep 2025,1,1410,750,0.5319
2025-09-01,Sep 2025,2,1410,629,0.4461
2025-09-01,Sep 2025,3,1410,474,0.3362
2025-09-01,Sep 2025,4,1410,393,0.2787
2025-09-01,Sep 2025,5,1410,313,0.2220
2025-09-01,Sep 2025,6,1410,291,0.2064
2025-09-01,Sep 2025,7,1410,218,0.1546
2025-09-01,Sep 2025,8,1410,228,0.1617
2025-10-01,Oct 2025,1,1519,787,0.5181
2025-10-01,Oct 2025,2,1519,676,0.4450
2025-10-01,Oct 2025,3,1519,519,0.3417
2025-10-01,Oct 2025,4,1519,411,0.2706
2025-10-01,Oct 2025,5,1519,345,0.2271
2025-10-01,Oct 2025,6,1519,305,0.2008
2025-10-01,Oct 2025,7,1519,258,0.1698
2025-10-01,Oct 2025,8,1519,210,0.1382
2025-11-01,Nov 2025,1,1556,826,0.5308
2025-11-01,Nov 2025,2,1556,697,0.4479
2025-11-01,Nov 2025,3,1556,540,0.3470
2025-11-01,Nov 2025,4,1556,445,0.2860
2025-11-01,Nov 2025,5,1556,394,0.2532
2025-11-01,Nov 2025,6,1556,299,0.1922
2025-11-01,Nov 2025,7,1556,257,0.1652
2025-11-01,Nov 2025,8,1556,208,0.1337
2025-12-01,Dec 2025,1,1796,881,0.4905
2025-12-01,Dec 2025,2,1796,714,0.3976
2025-12-01,Dec 2025,3,1796,544,0.3029
2025-12-01,Dec 2025,4,1796,455,0.2533
2025-12-01,Dec 2025,5,1796,350,0.1949
2025-12-01,Dec 2025,6,1796,316,0.1759
2025-12-01,Dec 2025,7,1796,274,0.1526
2025-12-01,Dec 2025,8,1796,239,0.1331
2026-01-01,Jan 2026,1,1953,955,0.4890
2026-01-01,Jan 2026,2,1953,777,0.3978
2026-01-01,Jan 2026,3,1953,605,0.3098
2026-01-01,Jan 2026,4,1953,457,0.2340
